id,video id,author,author id,text,label,annotator notes,text_length
UgzJMmyfh-V9DdspcKN4AaABAg,M7jj9c4pzIA,@IbrahimKhalil-nq4ee,UCFzHoqYnhDk5plzEXlKiKSA,We all stand for Palestine. 🇧🇩🤝🇵🇸,P,"Confidence: High | The comment explicitly states 'We all stand for Palestine' and uses flags associated with Bangladesh and Palestine, clearly indicating support for Palestine.",33
UgxSPspi64LsuKtOygR4AaABAg,M7jj9c4pzIA,@BAJI_AMVS_14790,UCE1aLbKG8Hb-P477PbS3QEA,"I am 🇱🇰 and I stand by Palestine

May God help Palestine be free 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸 🇵🇸",P,"Confidence: High | The comment states 'I am 🇱🇰 and I stand by Palestine' and includes a plea for Palestine to be free, along with multiple Palestinian flags. This demonstrates direct support for Palestine.",142
UgyioTBsH4SJo-5y1jh4AaABAg,M7jj9c4pzIA,@aminathdidi2463,UC0uAjK1dLRz43GiI505uzqw,Maldives too 🇲🇻🇲🇻,P,"Confidence: Medium | The comment 'Maldives too 🇲🇻🇲🇻' follows comments expressing support for Palestine. While not explicitly stating support for Palestine, the context and the use of the Maldivian flag in conjunction with preceding pro-Palestine comments suggest solidarity or support. However, it's not as direct as the others.",17
Ugxg1Tc9rCA5eZH4Mxx4AaABAg,M7jj9c4pzIA,@humairakhanum9236,UCWqEP87w-XVWvAvbATjbbtQ,Bangladesh always support Palestine 🫂🫂🫂,P,"Confidence: High | The comment directly states 'Bangladesh always support Palestine' and uses hug emojis, indicating strong support for Palestine.",39
UgyKg6JY4izZm6z33h54AaABAg,M7jj9c4pzIA,@Princess_Glowibis,UCfJj6IsOfJAGBg4dSMDacDg,🇧🇭 also Bahrain,P,"Confidence: Medium | The comment '🇧🇭 also Bahrain' follows a series of comments supporting Palestine. Similar to item 2, the context implies solidarity with Palestine, but the statement itself is ambiguous without further clarification. However, given the immediate preceding context, it leans towards supporting Palestine.",15
UgwChYIgtkQBRUSjkBp4AaABAg,M7jj9c4pzIA,@amrutagaikwad8400,UCsijeyXEpT66rt6Zo6cL-sw,If whole world supports Israel then also Israel willl win😂😂😂🇮🇳❤🇮🇱,I,"Confidence: High | The comment expresses confidence in Israel's victory, even if the whole world supports it. The use of emojis, including the Israeli flag, and the celebratory tone ('win😂😂😂') strongly indicate support for Israel.",65
UgwtX5qqxH71KffGSpN4AaABAg,M7jj9c4pzIA,@bhuiyantushar7384,UCJdl6ArZby8mgj9DQ9K1L2w,"Only the,counrry,you should support is palestine",P,"Confidence: High | The comment explicitly states that Palestine is the only country to support, directly advocating for the Palestinian side.",48
UgyGdts7PgHqgmXDVUN4AaABAg,M7jj9c4pzIA,@abdulsamadkamawi6797,UCzBxb6hvRwfog9sGzGB3-eg,I hate Taliban. but why not the real Afghanistan,N,Confidence: Low | The comment expresses a dislike for the Taliban and asks a question about Afghanistan. This does not directly relate to or take a stance on the Israel-Gaza conflict. It's a tangential statement that doesn't provide enough information to label.,48
UgyuCcKjxYU-cKxMQZN4AaABAg,M7jj9c4pzIA,@Farhankhan-ig7yw,UCbmEmrANp5sYdczT751zb_w,"Pakistan 🇵🇰 will be always with Palestine 

🇵🇸😊❤❤❤❤🇵🇰😊",P,"Confidence: High | The comment clearly states 'Pakistan 🇵🇰 will be always with Palestine' and uses multiple heart emojis, along with the Palestinian flag, demonstrating strong support for Palestine.",54
UgxRaUxHn0sHQgsLGH14AaABAg,M7jj9c4pzIA,@Rmsmartcreation,UC7qxDfef5SmNyyXwdKFshiw,Pakistan is coming to help you Palestine inshallah,P,"Confidence: High | The comment states that Pakistan is coming to help Palestine, which is a direct expression of support for the Palestinian cause.",50
UgxvQBcB4-KGi6Zjnhh4AaABAg,M7jj9c4pzIA,@Coco_Puffxii,UCWE73CC49obHgq7aOPjGG9A,"What about Russia🇷🇺
FREE PALESTINE
WHO EVER SUPPORT PALESTINE🇵🇸
👇",P,"Confidence: High | The comment explicitly states 'FREE PALESTINE' and uses the Palestinian flag emoji, clearly indicating support for Palestine.",65
UgwSarB7NeU3rqjhGJZ4AaABAg,M7jj9c4pzIA,@shahidazafeer2143,UC5-AiRgJ6zsYs1e-dvYepoQ,"who supports Palestine 
tell here",P,"Confidence: Medium | The comment asks for supporters of Palestine, which implies an alignment with that side, though it's framed as a question.",33
UgxBA5PAahTP9Ial1Gl4AaABAg,M7jj9c4pzIA,@rozinaakther5563,UCEeuqRtolF98xzUJUWPxvSA,We are proud to be bangladeshis who stand with palestine,P,"Confidence: High | The comment explicitly states pride in being Bangladeshi and 'stand[ing] with palestine', leaving no ambiguity about the stance.",56
UgyCGqFhR624jZ89z6x4AaABAg,M7jj9c4pzIA,@thanwantkaur1902,UCxTFsfaY5LqeoBZUNcr30ow,I'm from 🇲🇾 Malaysia Free free palestine 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸❤,P,"Confidence: High | The comment uses the phrase 'Free free palestine' and includes multiple Palestinian flag emojis, unequivocally supporting Palestine.",54
UgwNZ6b4wSYC_fhJoHt4AaABAg,M7jj9c4pzIA,@sumailakausar6082,UCWrvFiEpRzkphEZtDPj515A,South korea is also supporting Palestine,P,"Confidence: High | The comment directly states 'South korea is also supporting Palestine', indicating a pro-Palestinian stance.",40
Ugyd09ZPwITOzREjurN4AaABAg,M7jj9c4pzIA,@fans_magic5_839,UCcxdKHcsIcIte2YbM9bF7XQ,"We always support Palestine, the Palestinian spirit, never give up, OK ☺️☺️🇵🇸🇵🇸🇵🇸",P,"Confidence: High | The comment explicitly states 'We always support Palestine' and uses the Palestinian flag emoji, indicating a clear pro-Palestinian stance.",81
UgxkM0D7qzleF5l3ccx4AaABAg,M7jj9c4pzIA,@user-zq3vy2cw4y,UC-TzseyX6GMW5DWVFWfIZKg,We also support 🇲🇻🇵🇸,P,"Confidence: High | The comment expresses support for Palestine, indicated by the Palestinian flag emoji (🇵🇸). The presence of another flag (🇲🇻) does not detract from this clear statement of support.",20
Ugy3C_odhcQvu_CPa-B4AaABAg,M7jj9c4pzIA,@gr68990,UCkbWLDYi6h_VIhnbeqvKO_w,THERE IS NO PALESTINE,N,"Confidence: High | The comment 'THERE IS NO PALESTINE' is a denial of Palestinian existence. While this statement is highly charged and controversial, it doesn't directly express support for Israel or criticize Palestine in a way that can be definitively labeled as 'I' according to the provided guidelines. It's a denial of a political entity, which falls outside the scope of directly supporting one side over the other in the conflict itself, making it more of a negation than an affirmation of a particular side's interests. However, given the context of the conflict, such a statement is often aligned with pro-Israel viewpoints that question Palestinian claims to statehood, but the direct wording doesn't fit the 'I' definition perfectly. It's a strong statement but not a direct endorsement of Israeli actions or security. Therefore, 'N' is chosen due to the statement's nature of denial rather than direct support for one side.",21
UgypkjScDRUeSDSIvZB4AaABAg,M7jj9c4pzIA,@mehboobeeabdullah6877,UCFxB4l2YhWyl7QlRAR6WQow,And also 🇮🇳,N,"Confidence: Medium | The comment simply states 'And also 🇮🇳'. Without further context or explicit mention of Palestine or Israel, it's unclear what this comment is referring to in relation to the conflict. The Indian flag could represent a variety of sentiments or affiliations. It does not clearly support or oppose either side.",11
UgwY35XArp-AKcvm9754AaABAg,M7jj9c4pzIA,@fozaanjamil9255,UCR5DfT_MIlnpVVqAdHmuayw,Support Palestine🇸🇩 from Pakistan 🇵🇰,P,"Confidence: High | The comment explicitly states 'Support Palestine' and includes the Palestinian flag emoji (🇵🇸) and mentions being from Pakistan (🇵🇰), which is often associated with pro-Palestinian sentiment in the context of this conflict.",36
