item_id,idx,gold,corpus,confidence,armA,armB
V0005,539429,P,I,High,P,P
V0006,4738,P,P,High,N,P
V0007,305628,N,I,High,N,N
V0009,398232,P,P,High,P,P
V0010,688489,N,N,High,N,N
V0011,335376,I,I,High,I,I
V0012,229078,I,N,LowMed,I,I
V0013,513770,I,N,High,I,I
V0016,372543,N,I,High,N,N
V0017,579968,N,N,High,N,N
V0018,409148,R,P,High,R,R
V0021,704867,R,I,LowMed,R,N
V0025,198349,I,I,High,I,I
V0028,177047,I,I,High,I,I
V0033,187857,P,P,High,P,P
V0034,225787,N,I,LowMed,N,N
V0035,630591,N,N,High,R,P
V0043,248971,N,N,High,R,P
V0046,637685,N,I,LowMed,R,N
V0048,429794,P,I,High,I,P
V0050,227242,N,I,High,N,I
V0052,144291,P,P,High,P,P
V0053,228359,N,N,High,N,I
V0054,276167,N,N,High,N,I
V0057,558708,I,I,High,I,I
V0058,782427,P,P,High,I,I
V0059,218243,N,I,High,R,I
V0063,233117,R,P,High,N,N
V0065,66183,I,N,High,I,I
V0067,272584,R,N,High,N,N
V0068,731060,N,N,High,N,N
V0069,367181,P,I,High,P,P
V0073,91166,I,I,High,N,P
V0075,627900,N,P,LowMed,N,N
V0079,208457,I,I,High,I,I
V0081,61682,P,P,High,P,P
V0083,740351,P,N,High,R,N
V0085,320425,I,I,High,I,I
V0089,770883,I,I,High,I,I
V0091,347280,P,N,High,N,N
V0092,151219,P,N,LowMed,N,N
V0093,697376,R,N,LowMed,R,I
V0094,685136,N,I,LowMed,N,N
V0095,555538,I,I,High,I,I
V0096,713772,P,P,High,P,P
V0100,70180,P,P,High,N,N
V0101,234613,R,P,High,R,N
V0102,369874,P,P,High,P,P
V0105,470512,P,P,High,P,P
V0106,242821,N,P,LowMed,N,N
V0107,341284,N,N,LowMed,N,P
V0111,301053,N,I,LowMed,I,I
V0112,650332,I,I,High,I,I
V0113,663035,P,N,High,P,P
V0114,126315,N,P,LowMed,P,P
V0115,213800,N,N,LowMed,N,N
V0118,648863,N,N,LowMed,N,N
V0119,87203,N,P,LowMed,N,I
V0120,254399,P,P,High,P,P
V0122,755804,I,P,High,P,P
V0125,663044,N,N,High,N,N
V0126,137177,R,P,LowMed,R,R
V0134,16447,N,P,LowMed,R,N
V0135,315576,R,P,LowMed,R,R
V0137,660911,N,N,High,N,N
V0138,395046,P,P,LowMed,I,I
V0139,82336,P,P,High,P,P
V0141,316493,P,N,LowMed,P,P
V0142,142773,P,P,High,P,P
V0143,52752,P,P,High,P,P
V0145,768168,N,N,High,R,N
V0147,703901,N,N,High,R,N
V0148,290077,P,I,High,P,P
V0152,535031,P,P,High,R,P
V0153,317332,N,I,LowMed,R,N
V0154,239713,N,N,LowMed,N,N
V0156,467453,N,N,LowMed,N,N
V0157,406750,R,N,High,R,P
V0159,337025,N,P,LowMed,R,I
V0163,470858,I,I,High,I,R
V0164,409083,P,P,High,P,P
V0165,51964,N,P,LowMed,N,N
V0166,271605,I,I,High,N,I
V0167,248497,R,P,High,R,P
V0169,108941,R,P,High,R,N
V0171,326185,R,N,LowMed,N,P
V0172,699523,P,N,High,P,P
V0174,187461,I,I,LowMed,I,I
V0177,530697,R,I,High,N,N
V0178,261108,P,P,High,N,P
V0181,570714,N,P,High,R,N
V0183,558727,I,I,LowMed,I,I
V0184,732544,N,I,LowMed,N,N
V0187,538720,N,N,High,N,N
V0190,312802,I,I,LowMed,R,I
V0191,211812,R,N,High,R,N
V0192,559910,N,P,High,N,N
V0194,190483,N,P,High,I,I
V0195,135103,P,I,High,P,I
V0202,205205,I,I,LowMed,I,I
V0205,501785,I,P,High,I,I
V0207,196870,R,I,High,R,N
V0209,427711,N,N,High,R,N
V0211,781142,R,P,LowMed,R,N
V0212,394836,N,I,High,R,N
V0213,159447,P,N,High,R,P
V0223,48744,N,N,High,R,N
V0226,249743,R,P,LowMed,R,N
V0228,758868,R,N,High,R,N
V0230,250596,R,N,High,R,R
V0231,688889,I,N,High,P,P
V0232,350623,R,N,LowMed,R,N
V0237,463007,N,N,High,N,P
V0239,543995,N,N,High,N,P
V0240,121786,N,I,High,R,N
V0242,685224,N,I,High,N,N
V0243,699497,N,N,LowMed,N,P
V0244,712260,N,I,LowMed,N,P
V0245,99113,P,P,LowMed,P,P
V0247,673658,N,I,LowMed,N,N
V0250,514737,R,N,High,R,R
V0253,303439,N,I,High,R,N
V0254,330380,P,P,High,N,N
V0255,664622,N,N,LowMed,N,N
V0256,578398,N,I,High,R,N
V0257,750819,I,I,High,I,I
V0258,227802,I,P,High,N,I
V0260,53530,N,P,High,R,P
V0263,746482,I,I,LowMed,I,I
V0265,469280,N,N,LowMed,N,N
V0267,624498,R,I,High,R,R
