id,video id,author,author id,text,label,annotator notes,text_length,vader_compound,vader_pos,vader_neu,vader_neg,vader_label,textblob_polarity,textblob_subjectivity,textblob_label,INSULT,PROFANITY,SEVERE_TOXICITY,TOXICITY,IDENTITY_ATTACK,THREAT
UgyPdh7TaGTBsWC2ef54AaABAg,RohI8UnU0q8,@kumarram5302,UCb_TkYWD0ERyLZqLsNpxhrw,"Hamas is terrorist organisation
Terrorists are war criminals
Don't forget 7.10..23 attack on Israel by HMAS beheaded 400 children
Putin irritate by Biden NATO due to long conflict with Ukraine whereas
Biden is supporter of Israel
Israel is free to do anything because war was initiated by HMAS on innocent citizens of Israel",I,"Confidence: High | This comment explicitly labels Hamas as a terrorist organization, calls terrorists war criminals, mentions the October 7th attack on Israel with graphic detail, and states Israel is free to do anything because the war was initiated by Hamas. This clearly supports Israel's actions and narrative.",324,-0.9467,0.153,0.523,0.324,negative,0.18125,0.5687500000000001,positive,0.2659317,0.04892669,0.018449519,0.34757367,0.2854555,0.09009721
Ugzerj-oIx0MHs5GHnN4AaABAg,XYxHVExRLpI,@MrAndrejus37,UC3vwVyBRniaGV1n4-hH576Q,ISRAEL FOREVER !,I,Confidence: High | The comment 'ISRAEL FOREVER !' is a clear and direct statement of support for Israel.,16,0.0,0.0,1.0,0.0,neutral,0.0,0.0,neutral,0.012414906,0.019212283,0.004272461,0.054531995,0.036620867,0.009592636
Ugz4tNqXIpUPDbQZh_54AaABAg.9yJLncjl4df9yJWsOj5Hz0,3lFF7917bPM,@panto5045,,They started dumass,I,"Confidence: High | The comment states 'They started dumass', in the context of the Israel-Gaza war. This phrasing directly implies that the opposing side (Hamas or Palestinians) initiated the conflict, which is a common argument used to support Israel's right to self-defense and justify its actions.",19,0.0,0.0,1.0,0.0,neutral,0.0,0.0,neutral,0.09124154,0.26645362,0.018384963,0.27412915,0.029917859,0.012440704
UgyYSMt7TQeRptrIkw54AaABAg.9y4Epg1d_Lp9yWovVRHh-0,TZRcQDHGgKg,@xplicitgoofy1015,,"@@letthatsimmer You clearly don’t know anything that happened. Let’s just ignore the fact that a majority of Europe’s Jewish population was murdered in the holocaust. Let’s also ignore the fact that over 70% of Israel is from the Middle East and over Mizrahi Jewish descent which are the most natives to the Israelites because they didn’t intermix at all. Yep, you clearly don’t know anything what you are talking about so not even worth arguing with you lol.

I’m sure if I can dig further into the Palestinian genome, I can find lots of Egyptian and Arabian DNA",I,"Confidence: High | The comment directly defends Israel by referencing the Holocaust, emphasizing the indigenous roots of Mizrahi Jews in Israel, and contrasting this with a speculative statement about Palestinian DNA, all in an argumentative tone defending Israel.",563,0.4311,0.133,0.768,0.099,positive,0.2299999999999999,0.3455555555555555,positive,0.24928534,0.06596114,0.017287504,0.3286776,0.293411,0.049774777
Ugyc6SqJ5wsaEuW_uLZ4AaABAg,h7mFQdbpJ3Q,@sAM859,UCoLT10pgoBfWprmwbo3jQTw,"Deport this white penguin to Palestine  . One thing all Christian countries should learn from arab states like UAE and saudi that don't give citizenship that easy ! Muslim immigrants are getting everything from here but they loyalty lies in middle East , that's why they always make chaos as they will never consider a dar ul harab as Home!",I,"Confidence: High | The comment expresses a strong anti-immigrant sentiment, linking 'Muslim immigrants' to a lack of loyalty and a tendency to 'make chaos.' It advocates for Christian countries to learn from Arab states regarding citizenship. The sentiment of distrust towards Muslim immigrants and the perceived threat to 'home' can be interpreted as aligning with nationalist or pro-Israel sentiments that view certain groups as destabilizing forces, especially in the context of the Middle East conflict.",340,-0.4374,0.116,0.756,0.128,negative,0.1354166666666666,0.2083333333333333,positive,0.46327567,0.25184435,0.16960317,0.53579444,0.57554024,0.13616586
Ugz1Fq0u3J9A_mjK98l4AaABAg,SDfIyADXiLQ,@ArmenianChelik,UCrFZQtnP9Cp_l20_UMF9ALA,Israel is not a bad country,I,"Confidence: Medium | The comment states 'Israel is not a bad country'. While not an enthusiastic endorsement, it directly defends Israel against potential negative characterization, implying support for its general standing or actions.",27,0.431,0.363,0.637,0.0,positive,0.3499999999999999,0.6666666666666666,positive,0.014960921,0.02392626,0.0029182434,0.056263726,0.036878675,0.008505191
UgzVmbX7AqShy6BTZNl4AaABAg,r8FaANdrd6Y,@user-jn7bq8wh1e,UCZI_4NdeWw0B1_KwOob44XQ,May the God be with u my Israeli Bros n sis,I,"Confidence: High | The comment 'May the God be with u my Israeli Bros n sis' is a clear expression of support and well-wishes for Israelis, indicating a pro-Israel stance.",43,0.2732,0.174,0.826,0.0,positive,0.0,0.0,neutral,0.012870909,0.026317406,0.003414154,0.04735767,0.029660052,0.010550622
UgwA_mxItDHaEOuKJeZ4AaABAg.9ykJhG2FpPg9ylWRvmNiZw,pQ3pNFvmDQc,@reynaldocunanan1987,,@@christophersibonisosambo9642Took back what rightfully theirs since Moses.,I,"Confidence: High | This comment directly refutes the previous one by stating that actions were 'Took back what rightfully theirs since Moses.' This invokes historical and religious claims to justify Israeli presence and actions, indicating a pro-Israel stance.",75,0.0,0.0,1.0,0.0,neutral,0.0,0.0,neutral,0.0142009165,0.02167175,0.0026512146,0.04686289,0.018872296,0.009385503
UgwDQ7UKXfbTcjWDtix4AaABAg,HisQgD0N2jA,@fidelca3679,UCt-yIRCHP311qJzhAMNZYOw,The whole land belongs to Israel for the last 3000 years,I,"Confidence: High | The comment explicitly states that the land belongs to Israel for 3000 years, which is a direct assertion of Israeli historical claim and territorial legitimacy.",56,0.0,0.0,1.0,0.0,neutral,0.1,0.2333333333333333,neutral,0.014390918,0.02385794,0.0034713745,0.07845957,0.053854458,0.008103873
Ugz0xpPaXx7UX_0NWhJ4AaABAg.9y285agL-239yrD4Tr1OHJ,icvgCtHM_RY,@yahejtalv1343,,"They kinda are, their losses are in masses, meanwhile hamas not so much",I,"Confidence: Medium | The comment compares losses, stating 'their losses are in masses, meanwhile hamas not so much.' This implies a belief that one side is suffering disproportionately, which in the context of Israeli military actions often implies sympathy for Israel's perceived larger sacrifices or challenges.",71,-0.3477,0.0,0.831,0.169,negative,0.2,0.2,positive,0.029604018,0.030138692,0.004825592,0.11419344,0.07921951,0.012337137
